date,Sensor_O3,Temp,RelHum,RefSt
21/06/2017 00:00,167.6353,21.33,48.17,51.0
21/06/2017 01:00,155.8113,21.0,50.13,46.0
21/06/2017 02:00,126.0807,20.0,53.77,42.0
21/06/2017 03:00,61.3969,19.0,55.25,37.0
21/06/2017 04:00,116.043,19.0,55.3,40.0
21/06/2017 05:00,47.1317,18.1,56.77,21.0
21/06/2017 06:00,49.078,18.0,62.7,27.0
21/06/2017 07:00,36.3637,21.77,53.97,15.0
21/06/2017 08:00,37.351,27.97,34.93,23.0
21/06/2017 09:00,53.96,30.2,30.83,41.0
21/06/2017 10:00,164.7097,32.93,28.47,78.0
21/06/2017 11:00,311.133,33.07,28.1,107.0
21/06/2017 12:00,372.6237,35.27,27.1,122.0
21/06/2017 13:00,308.465,37.13,26.3,123.0
21/06/2017 14:00,314.5213,30.67,30.33,110.0
21/06/2017 15:00,404.6833,19.1,68.17,78.0
21/06/2017 16:00,188.4243,20.37,68.17,54.0
21/06/2017 17:00,113.7677,23.33,61.23,47.0
21/06/2017 18:00,103.7277,24.4,56.83,56.0
21/06/2017 19:00,131.3393,24.0,56.43,61.0
21/06/2017 20:00,139.6553,24.0,53.53,55.0
21/06/2017 21:00,81.653,22.07,62.17,45.0
21/06/2017 22:00,46.3413,21.0,66.87,13.0
21/06/2017 23:00,29.784,20.33,71.67,5.0
22/06/2017 00:00,26.5593,20.0,78.43,3.0
22/06/2017 01:00,24.8407,19.23,78.0,4.0
22/06/2017 02:00,27.5937,18.17,79.03,5.0
22/06/2017 03:00,26.438,18.0,81.0,3.0
22/06/2017 04:00,25.0283,18.0,76.7,1.0
22/06/2017 05:00,24.504,18.0,79.13,1.0
22/06/2017 06:00,23.9923,18.0,76.37,1.0
22/06/2017 07:00,24.5233,18.53,77.47,1.0
22/06/2017 08:00,25.849,23.9,68.53,8.0
22/06/2017 09:00,30.741,25.23,55.43,15.0
22/06/2017 10:00,47.213,31.23,41.3,37.0
22/06/2017 11:00,143.9323,30.43,41.07,72.0
22/06/2017 12:00,256.9717,34.43,35.9,106.0
22/06/2017 13:00,343.2943,36.83,27.8,118.0
22/06/2017 14:00,366.9223,38.63,26.2,142.0
22/06/2017 15:00,496.8997,39.23,25.03,195.0
22/06/2017 16:00,577.7993,35.3,28.13,179.0
22/06/2017 17:00,453.7963,26.47,42.4,119.0
22/06/2017 18:00,306.5093,26.0,45.93,86.0
22/06/2017 19:00,151.4577,25.0,51.83,73.0
22/06/2017 20:00,98.6653,25.0,52.3,46.0
22/06/2017 21:00,53.3923,24.0,62.83,28.0
22/06/2017 22:00,42.7263,23.73,64.23,19.0
22/06/2017 23:00,26.9907,22.77,67.33,9.0
23/06/2017 00:00,35.513,22.0,68.67,12.0
23/06/2017 01:00,30.8543,21.0,67.6,12.0
23/06/2017 02:00,32.671,20.9,71.5,9.0
23/06/2017 03:00,24.8988,20.0,73.41,3.0
23/06/2017 04:00,24.0223,19.0,76.6,1.0
