date;s1_o3;s2_o3;s3_o3;s4_o3;s_temp;s_rh;location 
06/04/2017 12:00;16.6374;13.1237;11.5979;7.0821;26.0;35.0;PR
06/04/2017 12:30;18.6775;14.855;13.65;8.755;26.0;35.0;PR
06/04/2017 14:00;81.3167;261.4067;197.0333;52.6683;21.5;31.5;PR
06/04/2017 14:30;152.12;335.261;226.7167;73.8;21.0;34.7;PR
06/04/2017 15:00;210.1913;392.389;255.1167;85.9347;21.0;35.03;PR
06/04/2017 15:30;241.0893;422.3123;274.363;95.6233;20.9;35.23;PR
06/04/2017 16:00;236.4537;392.3673;241.998;77.4913;20.23;39.17;PR
06/04/2017 16:30;179.5047;300.5457;191.1177;59.7527;19.3;45.53;PR
06/04/2017 17:00;175.8327;304.959;193.9487;60.3097;18.67;49.87;PR
06/04/2017 17:30;112.644;194.1347;127.6523;37.5967;18.0;53.03;PR
06/04/2017 18:00;119.1945;216.3666;151.2824;43.8828;18.0;55.48;PR
06/04/2017 18:30;116.2203;196.354;139.8993;42.2927;17.07;55.87;PR
06/04/2017 19:00;97.8353;153.811;118.4067;37.2527;16.97;60.03;PR
06/04/2017 19:30;96.3373;165.2033;139.1173;42.6473;16.0;63.1;PR
06/04/2017 20:00;155.542;268.1213;218.3337;72.8267;16.0;66.8;PR
06/04/2017 20:30;151.2723;242.083;198.459;64.2693;15.57;71.33;PR
06/04/2017 21:00;124.9547;191.2167;157.6407;48.2283;15.0;72.2;PR
06/04/2017 21:30;105.588;160.194;144.1377;40.767;15.0;72.83;PR
06/04/2017 22:00;86.6347;113.956;100.251;30.4373;14.73;72.27;PR
06/04/2017 22:30;57.5317;65.753;65.621;24.6123;14.0;72.33;PR
06/04/2017 23:00;81.2353;137.398;151.6447;39.7973;14.0;70.0;PR
06/04/2017 23:30;123.3937;209.0703;222.9413;61.2223;13.63;68.8;PR
07/04/2017 00:00;177.368;268.0447;270.154;77.263;13.0;68.0;PR
07/04/2017 00:30;183.9543;256.2833;249.396;73.5147;13.0;68.73;PR
07/04/2017 01:00;209.067;285.664;273.3727;81.0833;13.0;69.0;PR
07/04/2017 01:30;269.9378;351.5811;328.7239;117.8328;13.0;69.0;PR
07/04/2017 02:00;296.0797;370.9157;334.8547;120.399;13.0;69.0;PR
07/04/2017 02:30;304.6763;366.9113;337.574;114.3607;12.43;69.57;PR
07/04/2017 03:00;292.6983;342.9677;326.251;107.974;12.0;69.93;PR
07/04/2017 03:30;244.975;280.046;257.385;77.927;12.0;69.03;PR
07/04/2017 04:00;126.241;126.1513;104.342;34.6043;12.07;69.93;PR
07/04/2017 04:30;64.053;52.266;45.25;21.6163;12.0;70.0;PR
07/04/2017 05:00;63.4613;76.209;98.6663;37.1443;12.2;69.87;PR
07/04/2017 05:30;180.8957;267.747;283.7053;98.5873;13.37;63.93;PR
07/04/2017 06:00;130.8777;164.7153;180.159;62.1743;13.27;60.17;PR
07/04/2017 06:30;144.48;182.1323;184.7607;59.7503;14.9;57.13;PR
07/04/2017 07:00;76.2417;68.3447;63.0993;27.2467;17.6;52.1;PR
07/04/2017 07:30;121.0183;181.173;190.5267;61.805;19.2;46.77;PR
07/04/2017 08:00;138.6657;229.3453;213.1547;69.0557;21.57;43.2;PR
07/04/2017 08:30;99.416;195.8463;170.2633;71.329;25.37;35.97;PR
07/04/2017 09:00;108.9397;184.9907;150.1787;57.7817;28.27;30.03;PR
07/04/2017 09:30;161.4117;264.5713;237.333;70.118;25.73;32.0;PR
07/04/2017 10:00;170.0997;262.49;203.9797;71.4877;26.17;31.77;PR
07/04/2017 10:30;170.3857;232.642;213.574;75.068;26.2;31.7;PR
07/04/2017 11:00;186.3487;218.7597;229.5493;93.1907;25.33;32.13;PR
07/04/2017 11:30;163.4033;169.417;190.1363;85.8097;24.3;33.03;PR
07/04/2017 12:00;198.288;204.272;245.3997;111.584;23.93;33.03;PR
07/04/2017 12:30;280.8223;305.499;360.1087;162.3497;23.13;33.3;PR
07/04/2017 13:00;268.364;257.61;306.2343;130.852;23.2;34.03;PR
07/04/2017 13:30;283.4;321.638;350.587;148.623;23.2;34.27;PR
07/04/2017 14:00;342.0993;348.798;408.2983;203.36;20.87;37.67;PR
07/04/2017 14:30;384.6533;377.561;434.271;217.535;19.9;45.57;PR
07/04/2017 15:00;421.2377;394.2973;451.9297;232.9063;19.0;47.4;PR
07/04/2017 15:30;456.1297;425.974;481.404;244.2507;18.33;48.67;PR
07/04/2017 16:00;431.6947;400.972;443.002;219.6797;18.0;49.0;PR
07/04/2017 16:30;403.4007;387.378;430.1537;211.793;18.0;49.53;PR
07/04/2017 17:00;362.64;347.329;388.103;188.7783;17.73;50.0;PR
07/04/2017 17:30;318.7617;310.5277;349.0343;164.7157;17.0;49.9;PR
07/04/2017 18:00;281.9473;280.6543;320.036;148.0523;16.97;50.03;PR
07/04/2017 18:30;233.9437;240.7237;279.1427;121.8623;16.0;51.13;PR
07/04/2017 19:00;181.9483;186.441;233.849;94.5227;15.03;52.0;PR
07/04/2017 19:30;134.506;141.8173;191.403;72.8523;14.77;52.87;PR
07/04/2017 20:00;144.5173;180.0837;244.4987;96.537;14.03;54.73;PR
07/04/2017 20:30;217.2083;276.4131;354.8148;162.7793;14.0;55.93;PR
07/04/2017 21:00;265.3517;303.5613;386.916;184.1587;14.0;57.1;PR
07/04/2017 21:30;180.8367;172.5447;233.2713;101.976;13.33;58.93;PR
07/04/2017 22:00;177.878;197.714;282.6597;115.6137;13.0;66.9;PR
07/04/2017 22:30;171.7257;180.0423;250.8333;101.9167;13.0;69.0;PR
07/04/2017 23:00;139.7077;149.999;226.243;83.615;13.0;70.23;PR
07/04/2017 23:30;140.5693;165.0093;243.8273;94.2887;13.0;73.77;PR
08/04/2017 00:00;112.901;123.1157;184.02;71.6003;12.73;73.37;PR
08/04/2017 00:30;79.7233;73.7797;109.2933;45.7617;12.17;74.83;PR
08/04/2017 01:00;57.687;46.9153;62.782;30.862;12.4;75.33;PR
